Date,Open,High,Low,Close,Volume
1/4/2021 16:00:00,119.68,120.06,119.65,119.98,5498999
1/5/2021 16:00:00,119.87,119.89,119.58,119.7,5004393
1/6/2021 16:00:00,119.12,119.12,118.77,119,10039301
1/7/2021 16:00:00,118.58,118.66,118.48,118.58,7751650
1/8/2021 16:00:00,118.35,118.43,118.13,118.24,8378652
1/11/2021 16:00:00,118.15,118.16,117.99,118.01,6142879
1/12/2021 16:00:00,117.77,118.04,117.57,117.99,6516782
1/13/2021 16:00:00,118.17,118.55,118.14,118.4,7562855
1/14/2021 16:00:00,118.39,118.47,118.03,118.13,7731084
1/15/2021 16:00:00,118.38,118.53,118.21,118.45,5978356
1/19/2021 16:00:00,118.28,118.52,118.23,118.52,4035753
1/20/2021 16:00:00,118.39,118.57,118.36,118.57,4277708
1/21/2021 16:00:00,118.37,118.48,118.3,118.4,4254502
1/22/2021 16:00:00,118.5,118.6,118.44,118.58,4706189
1/25/2021 16:00:00,118.75,119.06,118.71,119.06,5689167
1/26/2021 16:00:00,118.94,119.06,118.92,119.02,4257174
1/27/2021 16:00:00,119.22,119.34,119.12,119.16,5764713
1/28/2021 16:00:00,119,119.01,118.72,118.85,5394284
1/29/2021 16:00:00,118.51,118.79,118.47,118.64,7952081
2/1/2021 16:00:00,118.57,118.77,118.53,118.71,3640712
2/2/2021 16:00:00,118.34,118.46,118.3,118.41,3609871
2/3/2021 16:00:00,118.25,118.31,118.1,118.12,3844215
2/4/2021 16:00:00,117.98,118.13,117.89,118.08,2146031
2/5/2021 16:00:00,118.05,118.18,117.83,117.83,5498036
2/8/2021 16:00:00,117.81,118.04,117.74,117.88,2861325
2/9/2021 16:00:00,118.01,118.13,117.92,117.97,4458483
2/10/2021 16:00:00,118.1,118.27,118.09,118.27,6726802
2/11/2021 16:00:00,118.27,118.31,118.13,118.18,5949889
2/12/2021 16:00:00,117.89,118.02,117.75,117.79,8802378
2/16/2021 16:00:00,117.27,117.38,116.86,116.94,8909021
2/17/2021 16:00:00,117.02,117.17,116.88,117.02,4789709
2/18/2021 16:00:00,116.83,117.1,116.74,117.01,4469927
2/19/2021 16:00:00,116.66,116.77,116.37,116.54,5851819
2/22/2021 16:00:00,116.45,116.67,116.26,116.35,3828028
2/23/2021 16:00:00,116.27,116.58,116.17,116.44,7344886
